area_name ,Latitude,Longitude,area_catagory ,statute ,penalty,address,금연구역면적,금연구역범위상세,데이터기준일자
(주)남서울가스,37.4977796,127.0755652,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 대치동 21-1,,영업허가 면적 경계선까지,2017-11-17
(주)진양가스,37.4905309,127.0359122,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 도곡동 552-5,,영업허가 면적 경계선까지,2017-11-17
(주)상현상사,37.5136307,127.0313462,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 논현동 207,,영업허가 면적 경계선까지,2017-11-17
(주)삼진에너지,37.4992996,127.07809,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 대치동 27-15,,영업허가 면적 경계선까지,2017-11-17
(주)수서에너지,37.4827957,127.1050145,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 자곡동204-1,,영업허가 면적 경계선까지,2017-11-17
개인택시조합복지강남제2충전소,37.4763295,127.1054648,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 자곡동 373-1,,영업허가 면적 경계선까지,2017-11-17
(주)도선제이엔디아이엔씨,37.4790041,127.0656864,가스충전소,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 565-3,,영업허가 면적 경계선까지,2017-11-17
강남대로 동측,37.4872446,127.0327813,거리,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 강남대로,870,신 논현역 5번 출구~강남역 12번 출구사이 보도,2017-11-17
강남대로,37.4872446,127.0327813,거리,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 강남대로,697,"강남역 1번 출구?캠브리지 빌딩, 강남역 1번 출구?우성아파트 사거리 서울빌딩",2017-11-17
개포개나리공원,37.4906129,127.074326,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 612,1501,시설전체,2017-11-17
개포은행나무공원,37.4789643,127.0609282,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 포이동 220,1642,시설전체,2017-11-17
개포목련공원,37.4789643,127.0609282,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 포이동 176,1639,시설전체,2017-11-17
일원은행나무공원,37.491986,127.0769687,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 615-2,1500,시설전체,2017-11-17
일원목련공원,37.4914149,127.0855621,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 658,1614,시설전체,2017-11-17
일원까치공원,37.4920442,127.0881735,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 일원동 712-4,1476,시설전체,2017-11-17
궁마을공원,37.4848147,127.0994013,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 수서동 465-15,306,시설전체,2017-11-17
예지공원,37.4919364,127.0731607,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 12-7,1536,시설전체,2017-11-17
한마음공원,37.4959964,127.0757885,공원,서울특별시 강남구 금연환경 조성 및 간접흡연 피해방지 조례 제5조,100000,서울특별시 강남구 개포동 12-3,2488,시설전체,2017-11-17
