address,Latitude,Longitude
서울특별시 강남구 대치동 21-1,37.4977796,127.0755652
서울특별시 강남구 도곡동 552-5,37.4905309,127.0359122
서울특별시 강남구 논현동 207,37.5136307,127.0313462
서울특별시 강남구 대치동 27-15,37.4992996,127.07809
서울특별시 강남구 자곡동204-1,37.4827957,127.1050145
서울특별시 강남구 자곡동 373-1,37.4763295,127.1054648
서울특별시 강남구 개포동 565-3,37.4790041,127.0656864
서울특별시 강남구 강남대로,37.4872446,127.0327813
서울특별시 강남구 강남대로,37.4872446,127.0327813
서울특별시 강남구 일원동 612,37.4906129,127.074326
서울특별시 강남구 포이동 220,37.4789643,127.0609282
서울특별시 강남구 포이동 176,37.4789643,127.0609282
서울특별시 강남구 일원동 615-2,37.491986,127.0769687
서울특별시 강남구 일원동 658,37.4914149,127.0855621
서울특별시 강남구 일원동 712-4,37.4920442,127.0881735
서울특별시 강남구 수서동 465-15,37.4848147,127.0994013
서울특별시 강남구 개포동 12-7,37.4919364,127.0731607
서울특별시 강남구 개포동 12-3,37.4959964,127.0757885
서울특별시 강남구 일원동 산52-1 일대,37.4810133,127.0801089
서울특별시 강남구 세곡동 산48-1 일대,37.4692712,127.1073203
서울특별시 강남구 일원동 732-4,37.4806646,127.0807035
서울특별시 강남구 일원동 730-3,37.4829771,127.0764826
서울특별시 강남구 일원동 730-2,37.4830306,127.0774464
서울특별시 강남구 일원동 718-1,37.4840446,127.081768
서울특별시 강남구 일원동 734-1,37.4820854,127.0821945
서울특별시 강남구 일원동 735-1,37.4832708,127.0859836
서울특별시 강남구 일원동 716-1,37.484737,127.0847209
서울특별시 강남구 수서동 746-1,37.4847553,127.0890751
서울특별시 강남구 수서동 736-1,37.4871237,127.0979375
서울특별시 강남구 수서동 707-1,37.4913306,127.0998059
서울특별시 강남구 수서동 712-1,37.4905488,127.1037562
서울특별시 강남구 수서동 723-1,37.4875022,127.1054073
서울특별시 강남구 세곡동 129-13,37.4638577,127.1070942
서울특별시 강남구 세곡동 99-6,37.4656608,127.1091449
서울특별시 강남구 세곡동 100-15,37.4657271,127.1094493
서울특별시 강남구 세곡동 102-9,37.4657995,127.109367
서울특별시 강남구 개포동 156외 23필지,37.4789643,127.0609282
서울특별시 강남구 도곡동 산31-1외93필지,37.4898434,127.0438136
서울특별시 강남구 개포동 139,37.4830336,127.063861
서울특별시 강남구 청담동 66외 4필지,37.5231998,127.0486655
서울특별시 강남구 논현동 26,37.5155317,127.0251861
서울특별시 강남구 역삼동 635외 1필지,37.4999072,127.0373932
서울특별시 강남구 도곡동 550외 5필지,37.4898434,127.0438136
서울특별시 강남구 삼성동 75외 4필지,37.5139848,127.0565207
서울특별시 강남구 신사동 649-9,37.5239121,127.0355914
서울특별시 강남구 대치동 501,37.4896066,127.0571491
서울특별시 강남구 대치동 212-1 외 13필지,37.4994914,127.0610527
서울특별시 강남구 청담동 134-13외 12필지,37.5231998,127.0486655
서울특별시 강남구 일원동 621,37.4927795,127.0828179
서울특별시 강남구 개포동 1239-21외 4필지,37.4789643,127.0609282
서울특별시 강남구 개포동 13-1,37.4960323,127.0787736
서울특별시 강남구 일원동 732,37.4809196,127.0781655
서울특별시 강남구 세곡동 102-24,37.4658871,127.1092767
서울특별시 강남구 세곡동 100-15,37.4657271,127.1094493
서울특별시 강남구 세곡동 102-8,37.4658084,127.1092347
서울특별시 강남구 세곡동 102-17,37.4656964,127.1091987
서울특별시 강남구 세곡동 102-22,37.4659331,127.1092795
서울특별시 강남구 개포동 183-1외 1필지,37.4789643,127.0609282
서울특별시 강남구 개포동 181외 1필지,37.4789643,127.0609282
서울특별시 강남구 일원동 690,37.4898686,127.0774358
서울특별시 강남구 개포동 180외 2필지,37.4789643,127.0609282
서울특별시 강남구 대치동 512,37.4951065,127.0698635
서울특별시 강남구 세곡동 104-11,37.46592,127.1094583
서울특별시 강남구 세곡동 101,37.4658308,127.1094537
서울특별시 강남구 세곡동 102-28,37.4657088,127.1092867
서울특별시 강남구 세곡동 102-29,37.4656455,127.1092603
서울특별시 강남구 도곡동 461,37.4845355,127.0468249
서울특별시 강남구 수서동 722,37.4874195,127.1062745
서울특별시 강남구 개포동 182-1 외2필지,37.4789643,127.0609282
서울특별시 강남구 개포동 649-1,37.4855782,127.0543594
서울특별시 강남구 세곡동 369-3,37.4680242,127.1004438
서울특별시 강남구 세곡동 233-2,37.459131,127.1005944
서울특별시 강남구 자곡동 447-23,37.4735563,127.1001604
서울특별시 강남구 자곡동 421-1,37.4735051,127.1004143
서울특별시 강남구 율현동 308-29,37.4702593,127.1046598
서울특별시 강남구 율현동 194-1,37.4732596,127.1082045
서울특별시 강남구 역삼동 666-2,37.5046842,127.036522
서울특별시 강남구 역삼동 663-19,37.5053514,127.0382393
서울특별시 강남구 역삼동 663-20,37.5054137,127.0384693
서울특별시 강남구 삼성1동 171-4,37.5155653,127.0662647
서울특별시 강남구 삼성동80외 7필지,37.5139848,127.0565207
서울특별시 강남구 대치동 5-3외 2필지,37.4994914,127.0610527
서울특별시 강남구 대치동1017-3외 1필지,37.4994914,127.0610527
서울특별시 강남구 수서동 501-1,37.4842819,127.0965436
서울특별시 강남구 삼성동 46-15,37.5129778,127.0487958
서울특별시 강남구 세곡동 522-1,37.4620948,127.101929
서울특별시 강남구 압구정동 480,37.5309272,127.0345428
서울특별시 강남구 압구정동 422,37.5267081,127.0214576
서울특별시 강남구 삼성동 14외 1필지,37.5139848,127.0565207
서울특별시 강남구 역삼동 757-1,37.4975499,127.0488965
서울특별시 강남구 역삼동 755-7,37.4980245,127.0486372
서울특별시 강남구 역삼동 754-4,37.4979014,127.0482305
서울특별시 강남구 도곡동 527-7,37.4920871,127.0502685
서울특별시 강남구 역삼동 754-7외 1필지,37.4999072,127.0373932
서울특별시 강남구 역삼동 713-15외 1필지,37.4999072,127.0373932
서울특별시 강남구 역삼동 755-9,37.4992783,127.0490352
서울특별시 강남구 삼성동 7-4,37.5161862,127.0428581
서울특별시 강남구 삼성동 11-3,37.5162471,127.0445903
서울특별시 강남구 대치동 888-3,37.4938114,127.054726
서울특별시 강남구 역삼동 765-30,37.4965622,127.0510057
서울특별시 강남구 삼성동 16-4,37.5175682,127.046733
서울특별시 강남구 삼성동 50-3,37.5173474,127.044048
서울특별시 강남구 역삼동 763-18,37.4969822,127.048103
서울특별시 강남구 세곡동 526-2,37.4685794,127.1222702
서울특별시 강남구 개포동 1267-1,37.4824267,127.0494636
서울특별시 강남구 논현동 276-2,37.5093526,127.0388621
서울특별시 강남구 세곡동 603번지,37.4692712,127.1073203
서울특별시 강남구 자곡동 625번지,37.474172,127.0950243
서울특별시 강남구 자곡동 615번지,37.474172,127.0950243
서울특별시 강남구 자곡동 608번지 외 1,37.474172,127.0950243
서울특별시 강남구 자곡동 607번지,37.474172,127.0950243
서울특별시 강남구 자곡동 647번지,37.474172,127.0950243
서울특별시 강남구 자곡동 627번지 외 1,37.474172,127.0950243
서울특별시 강남구 세곡동 604번지 외 1,37.4692712,127.1073203
서울특별시 강남구 세곡동 537번지,37.4692712,127.1073203
서울특별시 강남구 세곡동 549번지,37.4692712,127.1073203
서울특별시 강남구 수서동 525답 일원,37.4881568,127.0855952
서울특별시 강남구 수서동 569답 일원,37.4881568,127.0855952
서울특별시 강남구 율현동 254-3답 일원,37.4881568,127.0855952
서울특별시 강남구 율현동 192-4구 일원,37.4933789,127.0800728
서울특별시 강남구 수서동 532답 일원,37.4880466,127.1029873
서울특별시 강남구 세곡동 525-1,37.4600486,127.1015872
서울특별시 강남구 도곡동 462-9,37.4861363,127.0462223
서울특별시 강남구 역삼동 716-5,37.50246,127.0493726
서울특별시 강남구 개포동 700외,37.4789643,127.0609282
서울특별시 강남구 개포동 186-19,37.4886855,127.0675707
서울특별시 강남구 도곡동 539-6,37.4939742,127.0471811
서울특별시 강남구 삼성동 131-11번지,37.5073294,127.0471528
서울특별시 강남구 논현동 162-11,37.5084738,127.0250833
서울특별시 강남구 논현동 137-18,37.5108353,127.0266972
서울특별시 강남구 논현동 47-13,37.5126012,127.0224235
서울특별시 강남구 논현동 150-5,37.5111874,127.0300758
서울특별시 강남구 논현동 205-7,37.5066323,127.0306901
서울특별시 강남구 논현동 239,37.5156684,127.0374588
서울특별시 강남구 논현동 263-23,37.5116297,127.0387639
